text,category,priority,sentiment
Urgent: The latest update broke the notification feature. Please help.,technical_issue,medium,neutral
urgent: my sync is stuck at 99% and won't finish.,technical_issue,medium,neutral
"Support, I want to cancel my subscription and stop all payments. Fix it ASAP.",billing,medium,negative
"Hi, I was charged twice for my subscription this month. Thanks.",billing,high,positive
"Hi, Do you have a mobile app available? Appreciate it.",general_inquiry,low,positive
I forgot my password and the reset link is expired.,password_reset,high,neutral
"Hello, I need to reset my 2FA and password. Thanks.",password_reset,urgent,positive
"Hello, The latest update broke the notification feature.",technical_issue,medium,neutral
What are your business hours?,general_inquiry,low,neutral
"Support, I want to cancel my subscription and stop all payments. Thanks.",billing,medium,positive
Do you have a mobile app available? Please help.,general_inquiry,low,neutral
I was charged twice for my subscription this month. Fix it ASAP.,billing,high,negative
"Support, The pricing on the website doesn't match my bill. Fix it ASAP.",billing,medium,negative
Urgent: The website is very slow and the images are not loading. Appreciate it.,technical_issue,medium,positive
urgent: i didn't receive the password reset email. fix it asap.,password_reset,high,negative
"Hi, How do I contact sales? Thanks.",general_inquiry,low,positive
My credit card was declined but the money left my account. Thanks.,billing,medium,negative
"Support, Do you have a mobile app available?",general_inquiry,low,neutral
"Hello, The latest update broke the notification feature. Fix it ASAP.",technical_issue,medium,negative
How do I contact sales?,general_inquiry,low,neutral
"Hi, I get an Error 500 when logging into the dashboard.",technical_issue,urgent,negative
"hello, i need to reset my 2fa and password. thanks.",password_reset,urgent,positive
"Hi, Do you have a mobile app available? Appreciate it.",general_inquiry,low,positive
Urgent: What are your business hours? Fix it ASAP.,general_inquiry,low,negative
my account is locked out after too many password attempts. please help.,password_reset,urgent,negative
Urgent: What are your business hours? Fix it ASAP.,general_inquiry,low,negative
"hi, my sync is stuck at 99% and won't finish. please help.",technical_issue,medium,neutral
"Hi, My account is locked out after too many password attempts. Thanks.",password_reset,urgent,negative
"Hi, How do I change my password?",password_reset,high,neutral
how do i contact sales? fix it asap.,general_inquiry,low,negative
"Hello, How do I change my password? Thanks.",password_reset,high,positive
"Hi, Where can I find the user manual? Thanks.",general_inquiry,low,positive
Urgent: I get an Error 500 when logging into the dashboard. Appreciate it.,technical_issue,urgent,negative
"Hello, Do you have a mobile app available? Appreciate it.",general_inquiry,low,positive
"Hi, How do I change my password?",password_reset,high,neutral
My account is locked out after too many password attempts.,password_reset,urgent,negative
How do I contact sales? Please help.,general_inquiry,low,neutral
Urgent: My credit card was declined but the money left my account. Fix it ASAP.,billing,medium,negative
"Hello, The app keeps crashing when I try to upload a photo. Fix it ASAP.",technical_issue,urgent,negative
do you offer discounts for students or non-profits?,general_inquiry,low,neutral
"Hello, Can I get a refund for the last billing cycle? Please help.",billing,high,neutral
urgent: i want to cancel my subscription and stop all payments. please help.,billing,medium,neutral
"Hello, My credit card was declined but the money left my account.",billing,medium,negative
i forgot my password and the reset link is expired. appreciate it.,password_reset,high,positive
Where can I find the user manual? Thanks.,general_inquiry,low,positive
"Hi, I get an Error 500 when logging into the dashboard. Appreciate it.",technical_issue,urgent,negative
"Support, Can I get a refund for the last billing cycle? Thanks.",billing,high,positive
"Hi, The app keeps crashing when I try to upload a photo. Please help.",technical_issue,urgent,negative
"hi, where can i find the user manual? fix it asap.",general_inquiry,low,negative
"Hello, I get an Error 500 when logging into the dashboard.",technical_issue,urgent,negative
"Hi, My account is locked out after too many password attempts. Fix it ASAP.",password_reset,urgent,negative
"Hello, How do I contact sales? Please help.",general_inquiry,low,neutral
"Hello, I can't connect to the server.",technical_issue,urgent,neutral
Urgent: My account is locked out after too many password attempts. Please help.,password_reset,urgent,negative
"Support, How do I contact sales? Please help.",general_inquiry,low,neutral
I need to reset my 2FA and password.,password_reset,urgent,neutral
"Hi, The website is very slow and the images are not loading. Thanks.",technical_issue,medium,positive
"Support, I forgot my password and the reset link is expired. Appreciate it.",password_reset,high,positive
"Support, I get an Error 500 when logging into the dashboard. Appreciate it.",technical_issue,urgent,negative
why is my invoice amount higher than usual?,billing,medium,neutral
Urgent: The pricing on the website doesn't match my bill. Fix it ASAP.,billing,medium,negative
My account is locked out after too many password attempts.,password_reset,urgent,negative
"Hello, I didn't receive the password reset email.",password_reset,high,neutral
"Hello, I get an Error 500 when logging into the dashboard. Thanks.",technical_issue,urgent,negative
Urgent: My credit card was declined but the money left my account. Please help.,billing,medium,negative
"Hello, I want to cancel my subscription and stop all payments. Thanks.",billing,medium,positive
My account is locked out after too many password attempts. Thanks.,password_reset,urgent,negative
How do I change my password? Appreciate it.,password_reset,high,positive
"support, how do i change my password?",password_reset,high,neutral
"support, do you offer discounts for students or non-profits? fix it asap.",general_inquiry,low,negative
"hi, where can i find the user manual? appreciate it.",general_inquiry,low,positive
Urgent: I can't connect to the server. Thanks.,technical_issue,urgent,positive
urgent: i forgot my password and the reset link is expired.,password_reset,high,neutral
"Support, My sync is stuck at 99% and won't finish. Please help.",technical_issue,medium,neutral
"Support, I was charged twice for my subscription this month. Thanks.",billing,high,positive
"Hello, I can't connect to the server.",technical_issue,urgent,neutral
"Hello, My credit card was declined but the money left my account.",billing,medium,negative
Do you offer discounts for students or non-profits?,general_inquiry,low,neutral
The latest update broke the notification feature.,technical_issue,medium,neutral
"Hi, Do you have a mobile app available? Thanks.",general_inquiry,low,positive
Urgent: What are your business hours? Appreciate it.,general_inquiry,low,positive
I need to reset my 2FA and password. Thanks.,password_reset,urgent,positive
urgent: what are your business hours? fix it asap.,general_inquiry,low,negative
"support, do you offer discounts for students or non-profits? appreciate it.",general_inquiry,low,positive
"Support, My account is locked out after too many password attempts.",password_reset,urgent,negative
My credit card was declined but the money left my account. Appreciate it.,billing,medium,negative
"Hello, How do I change my password?",password_reset,high,neutral
"Support, I didn't receive the password reset email. Please help.",password_reset,high,neutral
"hi, i get an error 500 when logging into the dashboard. please help.",technical_issue,urgent,negative
"Hello, What are your business hours? Fix it ASAP.",general_inquiry,low,negative
"Support, I forgot my password and the reset link is expired. Appreciate it.",password_reset,high,positive
"Hello, What are your business hours? Thanks.",general_inquiry,low,positive
"Hello, I need to reset my 2FA and password. Please help.",password_reset,urgent,neutral
"Hello, I need to reset my 2FA and password.",password_reset,urgent,neutral
"Hi, Do you have a mobile app available? Fix it ASAP.",general_inquiry,low,negative
Can I get a refund for the last billing cycle? Thanks.,billing,high,positive
urgent: can i get a refund for the last billing cycle?,billing,high,neutral
I was charged twice for my subscription this month. Thanks.,billing,high,positive
"Hello, How do I contact sales? Fix it ASAP.",general_inquiry,low,negative
"hi, i forgot my password and the reset link is expired. please help.",password_reset,high,neutral
"Support, The pricing on the website doesn't match my bill. Thanks.",billing,medium,positive
Urgent: Do you have a mobile app available?,general_inquiry,low,neutral
"Hello, Can I get a refund for the last billing cycle?",billing,high,neutral
the pricing on the website doesn't match my bill. thanks.,billing,medium,positive
